,Id,Churn
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,3.5561649180948507e-09
6,6,0.0
7,7,0.0
8,8,0.0
9,9,2.220446049250313e-16
10,10,8.881784197001252e-16
11,11,0.0
12,12,2.220446049250313e-16
13,13,0.0
14,14,0.0003124408626529185
15,15,0.0
16,16,0.0
17,17,1.716404796070492e-13
18,18,7.127631818093505e-14
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0743403683113576
26,26,0.0
27,27,9.39580713232857e-09
28,28,0.0
29,29,0.0
30,30,0.001532957045526917
31,31,0.0
32,32,6.661338147750939e-16
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.003919472633886811
37,37,0.0
38,38,4.3921949948178e-06
39,39,0.0
40,40,1.5912406414742009e-07
41,41,1.3622774495125611e-06
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.4716591104644944
49,49,0.44273898881810325
50,50,4.231422187750411e-06
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0013751474823823218
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.43488156991003724
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,3.5293246436474135e-08
65,65,1.8499439757846403e-09
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0017321697678280845
70,70,0.0
71,71,1.473721285483176e-05
72,72,0.0
73,73,4.440892098500626e-16
74,74,0.00010060452784632634
75,75,1.354472090042691e-14
76,76,0.0
77,77,0.6069938619391071
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.115865495171522
84,84,0.4270222841025637
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.4270222841025637
90,90,0.0
91,91,2.9474875873347628e-09
92,92,2.0994308193800215e-05
93,93,6.690203946391193e-13
94,94,0.0
95,95,0.0
96,96,0.0
97,97,0.00013007656794272737
98,98,0.0
99,99,0.11262373513533042
100,100,0.0
101,101,8.933362126928301e-06
102,102,0.0
103,103,0.0
104,104,0.0
105,105,3.4183310872681893e-05
106,106,0.0001603663072864414
107,107,0.0
108,108,0.0
109,109,0.0042181786105434105
110,110,0.0
111,111,0.0
112,112,0.0
113,113,2.9626265884985514e-08
114,114,0.0
115,115,4.594020597270543e-08
116,116,1.6448313866490594e-07
117,117,0.0
118,118,0.0012680193510731241
119,119,0.00012079513944762699
120,120,0.014456909778499227
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.0
125,125,4.036770917537069e-13
126,126,0.0
127,127,0.0
128,128,0.0
129,129,0.0
130,130,4.1578727871804944e-07
131,131,0.0
132,132,1.4876988529977098e-14
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,7.949196856316121e-14
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,0.0
145,145,0.0
146,146,0.0
147,147,2.458888648249058e-10
148,148,0.0
149,149,0.1408389650364238
150,150,0.0
151,151,0.0
152,152,8.881784197001252e-16
153,153,0.0001171098348476951
154,154,0.44144691199536756
155,155,2.0226341385098934e-06
156,156,0.005590663646532379
157,157,0.0
158,158,0.0
159,159,0.001201108001494422
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,0.0
165,165,0.0
166,166,0.0
167,167,0.0
168,168,4.977442735976112e-06
169,169,1.8592014594531747e-09
170,170,2.75055851307604e-05
171,171,0.0
172,172,0.0
173,173,0.0
174,174,0.00912478200313438
175,175,2.220446049250313e-16
176,176,8.881784197001252e-16
177,177,0.7287322695382097
178,178,0.0
179,179,1.5543122344752192e-15
180,180,0.0
181,181,8.54126360749774e-08
182,182,0.0
183,183,9.170041599160239e-05
184,184,0.0
185,185,9.909895126725132e-11
186,186,0.040849442849811846
187,187,0.0
188,188,0.006802423280239944
189,189,0.0
190,190,0.0
191,191,7.010703129139984e-11
192,192,0.0
193,193,0.0
194,194,0.004964170335329698
195,195,0.0
196,196,0.0
197,197,0.0
198,198,6.7272853954136735e-12
199,199,0.0
200,200,0.0
201,201,0.0
202,202,0.0
203,203,0.00157236232573843
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,2.158447990563417e-06
209,209,0.0
210,210,0.0
211,211,0.0
212,212,0.0
213,213,2.4424906541753444e-14
214,214,0.0
215,215,0.0
216,216,4.359469920711678e-05
217,217,0.00012554438232947884
218,218,0.0
219,219,0.0
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.00018069630278283455
224,224,0.008014815925164287
225,225,0.0
226,226,0.0
227,227,0.0
228,228,0.0
229,229,1.4304047901703143e-07
230,230,0.0
231,231,0.0
232,232,7.684963776455334e-13
233,233,5.421729731835967e-11
234,234,2.692257528025266e-10
235,235,5.087324430941287e-06
236,236,0.0
237,237,0.0
238,238,7.514708977307549e-07
239,239,1.2512250949781034e-06
240,240,0.2594403170943622
241,241,0.0
242,242,0.21784366753377582
243,243,0.0
244,244,0.16561548318908725
245,245,0.0
246,246,0.0
247,247,2.220446049250313e-16
248,248,0.0
249,249,1.9317880628477724e-14
250,250,4.707345624410664e-14
251,251,0.0
252,252,0.0
253,253,0.0
254,254,5.855376415075941e-05
255,255,0.009157655098074757
256,256,9.968811588434434e-07
257,257,4.884981308350689e-15
258,258,0.4173172701256599
259,259,7.176897406746541e-05
260,260,0.0
261,261,0.0
262,262,0.0
263,263,0.010408245781900916
264,264,1.2279066652354231e-13
265,265,0.3830795345634721
266,266,0.0
267,267,0.0
268,268,0.5013536526403335
269,269,0.0
270,270,0.0
271,271,1.2434497875801753e-14
272,272,1.5367707106861417e-12
273,273,0.0
274,274,0.0
275,275,0.0061421637330332235
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0320038866820157
280,280,0.0
281,281,0.0
282,282,5.5788706987414116e-11
283,283,0.0
284,284,0.0
285,285,6.674721153565599e-08
286,286,0.0
287,287,0.0
288,288,0.0
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.17473397490544507
294,294,1.5135848540070995e-06
295,295,0.0
296,296,3.0013169969977938e-05
297,297,0.0
298,298,3.9968028886505635e-15
299,299,6.661338147750939e-16
300,300,0.0
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.1663512045883434
306,306,0.0
307,307,0.0
308,308,1.5543122344752192e-15
309,309,2.9162478657140944e-05
310,310,0.00808653660144254
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,4.664329367187747e-09
316,316,0.0
317,317,0.0
318,318,1.3083945661351848e-06
319,319,0.0
320,320,0.0
321,321,3.1587345072914275e-08
322,322,0.0
323,323,0.0008851022762934591
324,324,0.0
325,325,0.004667023723732955
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,2.339080040769659e-09
332,332,0.0
333,333,0.15778177862024423
334,334,0.0032964799145056567
335,335,0.0
336,336,0.0
337,337,0.4760992207452671
338,338,2.6990853996267106e-11
339,339,1.9317880628477724e-14
340,340,0.00013876729692130496
341,341,0.00019417252372500027
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.39376457591922365
348,348,7.593792261673116e-11
349,349,0.0
350,350,0.0
351,351,0.0
352,352,1.913180467050246e-06
353,353,0.0
354,354,0.0
355,355,0.0
356,356,2.682502767414885e-05
357,357,0.0
358,358,0.03231250193078328
359,359,0.0
360,360,0.0
361,361,2.0561108371452974e-11
362,362,0.0
363,363,0.0
364,364,0.0
365,365,2.6221025350992022e-11
366,366,0.0
367,367,0.0
368,368,0.0
369,369,2.220446049250313e-16
370,370,0.0
371,371,2.170571722359682e-08
372,372,0.0
373,373,7.765215958910332e-06
374,374,0.0
375,375,0.0
376,376,0.0
377,377,0.22999014609955537
378,378,0.0
379,379,0.0
380,380,0.0
381,381,0.0
382,382,0.0
383,383,0.0
384,384,0.0
385,385,0.0
386,386,0.0
387,387,0.0
388,388,1.5722978474741467e-12
389,389,0.0
390,390,0.009997815004376576
391,391,0.0
392,392,0.0
393,393,0.0
394,394,0.0
395,395,7.112639566209111e-08
396,396,0.0
397,397,0.00042361160909976103
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.0
404,404,0.0
405,405,0.0
406,406,5.682121440031551e-13
407,407,7.123488454741089e-05
408,408,0.438582466416242
409,409,2.7631312757181448e-05
410,410,0.0
411,411,0.0
412,412,0.0
413,413,0.0
414,414,0.4638429927165362
415,415,6.681277753273207e-11
416,416,5.1012709527342714e-05
417,417,1.227812675419493e-06
418,418,0.0
419,419,0.0
420,420,1.0011837914269961e-08
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,2.2530956560018467e-05
429,429,0.0
430,430,0.0
431,431,0.0
432,432,0.0068788276746831745
433,433,0.0014904687663153116
434,434,0.0
435,435,9.239051633747053e-07
436,436,1.1717938865896116e-06
437,437,0.0
438,438,0.0
439,439,3.683794580489064e-08
440,440,0.0
441,441,4.440892098500626e-16
442,442,0.0
443,443,0.015859714336720176
444,444,0.0
445,445,2.4424906541753444e-15
446,446,0.0
447,447,0.0
448,448,0.0
449,449,0.0
450,450,7.771561172376096e-15
451,451,0.00269833865443847
452,452,0.0
453,453,0.0
454,454,0.0
455,455,0.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,0.0
462,462,0.0
463,463,0.0001234647369749986
464,464,0.40128363748367957
465,465,0.2381618783580992
466,466,0.0
467,467,2.6430191368831402e-11
468,468,0.0
469,469,0.0
470,470,0.0
471,471,0.0
472,472,0.4677490730956707
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,0.0
478,478,0.0
479,479,0.0
480,480,0.0
481,481,0.0
482,482,8.881784197001252e-16
483,483,0.01031832231184826
484,484,1.0119887858817123e-05
485,485,0.0
486,486,5.262457136723242e-14
487,487,0.0
488,488,3.2103182334708436e-09
489,489,0.0
490,490,0.00014639453175058215
491,491,0.38182341745513415
492,492,0.0
493,493,0.0
494,494,1.600748422703191e-10
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0013531687200518672
499,499,0.0
500,500,2.6171516953610308e-08
501,501,0.0
502,502,0.317672052297876
503,503,0.0
504,504,0.0
505,505,0.0
506,506,0.0
507,507,0.0
508,508,1.6231587185444596e-09
509,509,0.0
510,510,0.027076034414784123
511,511,0.0
512,512,0.004492479036611985
513,513,0.0
514,514,0.0
515,515,0.0
516,516,0.0
517,517,6.174612321818707e-05
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,3.19211324040225e-12
523,523,0.0
524,524,4.463334928339613e-05
525,525,0.013216453523696048
526,526,2.0777986798226067e-05
527,527,0.0
528,528,0.0
